Lat,Long
-3.94,-21.2
-2.75,-27.86
-8.09,-26.02
-3.42,-19.67
-1.51,-11.81
26.36,0.25
-4.21,-12.31
1.2,-16.49
23.42,7.23
15.19,20.57
-17.94,-20.74
20.35,6.49
-8.88,21.73
2.44,-8.07
-49.93,3.42
-14.33,-8.95
70.76,2.71
28.16,37.94
7.64,-34.55
3.14,41.61
-38.17,59.78
-18.5,-59.98
-9.82,-73.54
-36.4,-121.3
21.54,-85.07
33.14,137.69
-16.15,-24.62
11.99,49.33
45.84,36.81
64.83,56.25
42.28,32.12
50.23,-24.76
25.01,87.09
27.41,-90.57
-15.27,-34.04
47.22,47.57
22.94,48.41
-28.0,-28.1
-37.8,-30.8
8.83,15.75
-25.82,-30.48
6.66,4.06
21.56,-16.27
17.54,31.01
20.46,-34.84
-32.89,-34.32
33.31,53.67
20.12,16.21
11.22,-30.38
7.71,113.03
6.99,-8.42
-0.9,-10.32
12.7,-23.1
12.7,-23.1
48.74,49.17
9.36,-47.41
8.63,14.42
-2.36,16.39
